All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                        S1_QC           S5_QC           S6_QC           S7_QC           S8_QC         
# contigs (>= 0 bp)             147             146             148             152             112           
# contigs (>= 1000 bp)          88              84              84              92              88            
# contigs (>= 5000 bp)          62              59              57              65              61            
# contigs (>= 10000 bp)         46              43              42              48              46            
# contigs (>= 25000 bp)         30              29              28              33              32            
# contigs (>= 50000 bp)         21              21              20              22              23            
Total length (>= 0 bp)          3896662         3896820         3895754         3896075         3888525       
Total length (>= 1000 bp)       3877424         3875797         3874491         3876436         3875283       
Total length (>= 5000 bp)       3819429         3820013         3812250         3812658         3811909       
Total length (>= 10000 bp)      3707514         3708100         3707512         3693036         3707171       
Total length (>= 25000 bp)      3455088         3488087         3487459         3455178         3487154       
Total length (>= 50000 bp)      3140141         3217947         3220438         3072156         3178649       
# contigs                       100             98              97              104             100           
Largest contig                  312384          312384          340681          312382          312384        
Total length                    3886026         3885845         3883860         3885116         3883963       
Reference length                4012900         4012900         4012900         4012900         4012900       
GC (%)                          65.73           65.73           65.74           65.73           65.74         
Reference GC (%)                65.48           65.48           65.48           65.48           65.48         
N50                             150029          163164          158262          123179          137464        
NG50                            150029          163164          158262          119166          119168        
N75                             84536           86698           86698           82401           84536         
NG75                            73923           84536           84536           73960           83787         
L50                             9               9               9               10              10            
LG50                            9               9               9               11              11            
L75                             18              18              17              20              20            
LG75                            20              19              18              22              21            
# misassemblies                 2               1               3               3               3             
# misassembled contigs          2               1               2               2               2             
Misassembled contigs length     202559          89586           247887          124893          256331        
# local misassemblies           3               7               7               7               7             
# scaffold gap ext. mis.        0               0               0               0               0             
# scaffold gap loc. mis.        0               0               0               0               0             
# unaligned mis. contigs        0               0               0               0               0             
# unaligned contigs             0 + 1 part      0 + 1 part      0 + 1 part      0 + 1 part      0 + 1 part    
Unaligned length                778             778             778             778             778           
Genome fraction (%)             96.806          96.806          96.751          96.750          96.736        
Duplication ratio               1.000           1.000           1.000           1.000           1.000         
# N's per 100 kbp               0.00            0.00            0.00            0.00            0.00          
# mismatches per 100 kbp        1.80            0.59            0.54            1.24            0.46          
# indels per 100 kbp            0.51            0.39            0.39            0.62            0.39          
# predicted genes (unique)      3782            3782            3785            3791            3789          
# predicted genes (>= 0 bp)     3752 + 30 part  3765 + 17 part  3765 + 20 part  3765 + 26 part  3768 + 21 part
# predicted genes (>= 300 bp)   3227 + 26 part  3242 + 15 part  3235 + 17 part  3241 + 23 part  3241 + 17 part
# predicted genes (>= 1500 bp)  426 + 4 part    426 + 3 part    428 + 2 part    425 + 4 part    426 + 2 part  
# predicted genes (>= 3000 bp)  29 + 1 part     29 + 1 part     30 + 0 part     29 + 1 part     30 + 0 part   
Largest alignment               312384          312384          340677          312382          312384        
Total aligned length            3884699         3884760         3882615         3882547         3882038       
NA50                            150029          163164          149909          123179          119168        
NGA50                           150029          163164          149909          119166          116362        
NA75                            71278           84536           84536           77888           81827         
NGA75                           54891           83787           83787           62016           73960         
LA50                            9               9               9               10              10            
LGA50                           9               9               9               11              11            
LA75                            19              18              17              20              21            
LGA75                           21              19              18              22              22            
